"case_id","object_pair","relation","constraint_name","marker_x","marker_y","required_mil","actual_mil","observed_source","observed_source_kind","expected"
"OE001","shape-shape","main shape side inside region","Shape to Shape Spacing","550","780","21","10","OE001_R1_CSET","R1","R1"
"OE002","shape-shape","other shape side inside region","Shape to Shape Spacing","1310","780","21","10","OE002_R1_CSET","R1","R1 or DEFAULT"
"OE003","shape-shape","region outside local DRC","Shape to Shape Spacing","2070","780","11","10","DEFAULT","DEFAULT","DEFAULT"
"OE004","shape-shape","main shape side on boundary","Shape to Shape Spacing","2830","780","21","10","OE004_R1_CSET","R1","R1"
"OE005","shape-via","shape side inside region","Shape to Thru Via Spacing","550","1473.4","21","0","OE005_R1_CSET","R1","R1"
"OE006","shape-via","via side inside region","Shape to Thru Via Spacing","1310","1473.4","21","0","OE006_R1_CSET","R1","R1 or DEFAULT"
"OE007","shape-via","region outside local DRC","Shape to Thru Via Spacing","2070","1473.4","11","0","DEFAULT","DEFAULT","DEFAULT"
"OE008","shape-via","shape side on boundary","Shape to Thru Via Spacing","2830","1473.4","21","0","OE008_R1_CSET","R1","R1"
